"sale_id","prefix_length","previous_products","answer_product_ids"
"4605","1","[262]","[331,304,112,321]"
"4605","2","[262,331]","[304,112,321]"
"4605","3","[262,331,304]","[112,321]"
"4605","4","[262,331,304,112]","[321]"
"4606","1","[331]","[1,75,144,227,172,173,111,174,246,245,277]"
"4606","2","[331,1]","[75,144,227,172,173,111,174,246,245,277]"
"4606","3","[331,1,75]","[144,227,172,173,111,174,246,245,277]"
"4606","4","[331,1,75,144]","[227,172,173,111,174,246,245,277]"
"4606","5","[331,1,75,144,227]","[172,173,111,174,246,245,277]"
"4606","6","[331,1,75,144,227,172]","[173,111,174,246,245,277]"
"4606","7","[331,1,75,144,227,172,173]","[111,174,246,245,277]"
"4606","8","[331,1,75,144,227,172,173,111]","[174,246,245,277]"
"4606","9","[331,1,75,144,227,172,173,111,174]","[246,245,277]"
"4606","10","[331,1,75,144,227,172,173,111,174,246]","[245,277]"
"4606","11","[331,1,75,144,227,172,173,111,174,246,245]","[277]"
"4607","1","[85]","[295,5,323,6]"
"4607","2","[85,295]","[5,323,6]"
"4607","3","[85,295,5]","[323,6]"
"4607","4","[85,295,5,323]","[6]"
"4609","1","[1]","[111,239,3,328,60]"
"4609","2","[1,111]","[239,3,328,60]"
"4609","3","[1,111,239]","[3,328,60]"
"4609","4","[1,111,239,3]","[328,60]"
"4609","5","[1,111,239,3,328]","[60]"
"4610","1","[128]","[323,332,172]"
"4610","2","[128,323]","[332,172]"
"4610","3","[128,323,332]","[172]"
"4611","1","[302]","[228,127,205,155,277,301,305]"
"4611","2","[302,228]","[127,205,155,277,301,305]"
"4611","3","[302,228,127]","[205,155,277,301,305]"
"4611","4","[302,228,127,205]","[155,277,301,305]"
"4611","5","[302,228,127,205,155]","[277,301,305]"
"4611","6","[302,228,127,205,155,277]","[301,305]"
"4611","7","[302,228,127,205,155,277,301]","[305]"
"4612","1","[217]","[127,269,130,204,323,304,299,272,66]"
"4612","2","[217,127]","[269,130,204,323,304,299,272,66]"
"4612","3","[217,127,269]","[130,204,323,304,299,272,66]"
"4612","4","[217,127,269,130]","[204,323,304,299,272,66]"
